----------------------------------------------------------------------------------------------------
Execution: 0
Generation 15 | Average Generation Fitness: 0.0028939354152463254 | Best Fitness: 0.00766625547003866 | Population Length: 20| Best DNA: 'γλωσσας αλεξανδρος ουδις γλωσσας'
Generation 16 | Average Generation Fitness: 0.002783496087180505 | Best Fitness: 0.006192715588992293 | Population Length: 20| Best DNA: 'ειναι αλεξανδρος ουδις ειναι'
Generation 17 | Average Generation Fitness: 0.0027276826388534913 | Best Fitness: 0.006546939982992108 | Population Length: 20| Best DNA: 'αρετης αλεξανδρος ουδις αρετης'
Generation 18 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'μεγιστας αλεξανδρος ουδις μεγιστας'
Generation 19 | Average Generation Fitness: 0.002868790266030677 | Best Fitness: 0.007825381816331262 | Population Length: 20| Best DNA: 'δημητρι αλεξανδρος ουδις δημητρι'
Generation 20 | Average Generation Fitness: 0.003127343585183249 | Best Fitness: 0.00835441737306627 | Population Length: 20| Best DNA: 'αγαμηστορι αλεξανδρος ουδις αγαμηστορι'
Generation 21 | Average Generation Fitness: 0.002600193762452147 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'παροδου αλεξανδρος ουδις παροδου'
Generation 22 | Average Generation Fitness: 0.0035730708233583063 | Best Fitness: 0.011902727965501531 | Population Length: 20| Best DNA: 'δεινος αλεξανδρος ουδις δεινος'
Generation 23 | Average Generation Fitness: 0.0029136625829041763 | Best Fitness: 0.006489028458034011 | Population Length: 20| Best DNA: 'κρητινη αλεξανδρος ουδις κρητινη'
Generation 24 | Average Generation Fitness: 0.0030251465035052395 | Best Fitness: 0.006489028458034011 | Population Length: 20| Best DNA: 'μεγιστας αλεξανδρος ουδις μεγιστας'
Generation 25 | Average Generation Fitness: 0.003023365085225251 | Best Fitness: 0.0053740230248805225 | Population Length: 20| Best DNA: 'μεγιστας αλεξανδρος ουδις μεγιστας'
Generation 26 | Average Generation Fitness: 0.0030397460797117713 | Best Fitness: 0.008574979409972268 | Population Length: 20| Best DNA: 'διι αλεξανδρος ουδις διι'
Generation 27 | Average Generation Fitness: 0.002964352987330737 | Best Fitness: 0.006562245807698485 | Population Length: 20| Best DNA: 'ποσειδωνιου αλεξανδρος ουδις ποσειδωνιου'
Generation 28 | Average Generation Fitness: 0.002634089758489261 | Best Fitness: 0.004675082375707506 | Population Length: 20| Best DNA: 'κονωνος αλεξανδρος ουδις κονωνος'
Generation 29 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'διαπτωμασι αλεξανδρος ουδις διαπτωμασι'
Generation 30 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'μεγιστας αλεξανδρος ουδις μεγιστας'
Generation 31 | Average Generation Fitness: 0.0025988910453658095 | Best Fitness: 0.003971108113238468 | Population Length: 20| Best DNA: 'αγνως αλεξανδρος ουδις αγνως'
Generation 32 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'μεγιστας αλεξανδρος ουδις μεγιστας'
Generation 33 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'μεγιστας αλεξανδρος ουδις μεγιστας'
Generation 34 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'μεγιστας αλεξανδρος ουδις μεγιστας'
Generation 35 | Average Generation Fitness: 0.0028083498514257705 | Best Fitness: 0.008160284234437692 | Population Length: 20| Best DNA: 'ευεργετειν αλεξανδρος ουδις ευεργετειν'
Generation 36 | Average Generation Fitness: 0.003367787062931931 | Best Fitness: 0.0098921643026581 | Population Length: 20| Best DNA: 'χηματα αλεξανδρος ουδις χηματα'
Generation 37 | Average Generation Fitness: 0.002953811116357018 | Best Fitness: 0.006389967222897287 | Population Length: 20| Best DNA: 'ζηθου αλεξανδρος ουδις ζηθου'
Generation 38 | Average Generation Fitness: 0.0034013618421174104 | Best Fitness: 0.010736874600306588 | Population Length: 20| Best DNA: 'το αλεξανδρος ουδις το'
Generation 39 | Average Generation Fitness: 0.003018964971061346 | Best Fitness: 0.008222057017928757 | Population Length: 20| Best DNA: 'απολλωνιος αλεξανδρος ουδις απολλωνιος'
Generation 40 | Average Generation Fitness: 0.002964430406139082 | Best Fitness: 0.005301263321971918 | Population Length: 20| Best DNA: 'μεγιστας αλεξανδρος ουδις μεγιστας'
Generation 41 | Average Generation Fitness: 0.003169602727831239 | Best Fitness: 0.0089692512268084 | Population Length: 20| Best DNA: 'υπατω αλεξανδρος ουδις υπατω'
Generation 42 | Average Generation Fitness: 0.003167778188502832 | Best Fitness: 0.015348850975978916 | Population Length: 20| Best DNA: 'την αλεξανδρος ουδις την'
Generation 43 | Average Generation Fitness: 0.0026854272004366276 | Best Fitness: 0.004746932485391368 | Population Length: 20| Best DNA: 'λειτουργιαν αλεξανδρος ουδις λειτουργιαν'
Generation 44 | Average Generation Fitness: 0.0027900609679069035 | Best Fitness: 0.004949428007317968 | Population Length: 20| Best DNA: 'ημων αλεξανδρος ουδις ημων'
Generation 45 | Average Generation Fitness: 0.0028003406152267334 | Best Fitness: 0.007264852830186911 | Population Length: 20| Best DNA: 'αντιλοχος αλεξανδρος ουδις αντιλοχος'
Generation 46 | Average Generation Fitness: 0.0030796358867417233 | Best Fitness: 0.006562245807698485 | Population Length: 20| Best DNA: 'οαισακτεσ αλεξανδρος ουδις οαισακτεσ'
Generation 47 | Average Generation Fitness: 0.0031295703344020286 | Best Fitness: 0.007544792300309615 | Population Length: 20| Best DNA: 'υψιστωι αλεξανδρος ουδις υψιστωι'
Generation 48 | Average Generation Fitness: 0.002872890606737192 | Best Fitness: 0.00945109934066612 | Population Length: 20| Best DNA: 'ψυχη αλεξανδρος ουδις ψυχη'
Generation 49 | Average Generation Fitness: 0.003240163080465764 | Best Fitness: 0.007230760706851137 | Population Length: 20| Best DNA: 'πολλακις αλεξανδρος ουδις πολλακις'
Generation 50 | Average Generation Fitness: 0.0031042514468476202 | Best Fitness: 0.006038562844227708 | Population Length: 20| Best DNA: 'ει αλεξανδρος ουδις ει'
Generation 51 | Average Generation Fitness: 0.0030654935993124155 | Best Fitness: 0.0069796023681531925 | Population Length: 20| Best DNA: 'πασιων αλεξανδρος ουδις πασιων'
------------------------------------------------
Total Generations: 51
Total Population: 20   ---   Mutation Rate: 0.1  ---  Crossover Probability: 0.6
