----------------------------------------------------------------------------------------------------
Execution: 0
Generation 21 | Average Generation Fitness: 0.0030707516378249665 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'κηρυκα αλεξανδρος ουδις κηρυκα'
Generation 22 | Average Generation Fitness: 0.003011931903403365 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 23 | Average Generation Fitness: 0.002894292434560157 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'σχοινιαιας αλεξανδρος ουδις σχοινιαιας'
Generation 24 | Average Generation Fitness: 0.0027582717987101966 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'σχοινιαιας αλεξανδρος ουδις σχοινιαιας'
Generation 25 | Average Generation Fitness: 0.002607546229254836 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 26 | Average Generation Fitness: 0.002552402728234581 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 27 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 28 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 29 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 30 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 31 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
