----------------------------------------------------------------------------------------------------
Execution: 0
Generation 40 | Average Generation Fitness: 0.002535608105702073 | Best Fitness: 0.0043144713498138336 | Population Length: 200| Best DNA: 'δεινι αλεξανδρος ουδις δεινι'
Generation 41 | Average Generation Fitness: 0.0025338912895191963 | Best Fitness: 0.003971108113238468 | Population Length: 200| Best DNA: 'συμφεροντων αλεξανδρος ουδις συμφεροντων'
Generation 42 | Average Generation Fitness: 0.0025898877048268387 | Best Fitness: 0.009345821182775051 | Population Length: 200| Best DNA: 'θυγατηρ αλεξανδρος ουδις θυγατηρ'
Generation 43 | Average Generation Fitness: 0.0025310775013231246 | Best Fitness: 0.0034083504740241312 | Population Length: 200| Best DNA: 'δισχιλιους αλεξανδρος ουδις δισχιλιους'
Generation 44 | Average Generation Fitness: 0.0025504383783421054 | Best Fitness: 0.004948887962064941 | Population Length: 200| Best DNA: 'τιμουστερου αλεξανδρος ουδις τιμουστερου'
Generation 45 | Average Generation Fitness: 0.002552380310766146 | Best Fitness: 0.004411097153245506 | Population Length: 200| Best DNA: 'αντιπατρου αλεξανδρος ουδις αντιπατρου'
Generation 46 | Average Generation Fitness: 0.0025776554412255785 | Best Fitness: 0.008761579090906 | Population Length: 200| Best DNA: 'υπερ αλεξανδρος ουδις υπερ'
Generation 47 | Average Generation Fitness: 0.00258520807844143 | Best Fitness: 0.007158289677005024 | Population Length: 200| Best DNA: 'ιερησαμεν αλεξανδρος ουδις ιερησαμεν'
Generation 48 | Average Generation Fitness: 0.0026349306891972728 | Best Fitness: 0.010304486237820853 | Population Length: 200| Best DNA: 'παμφιλου αλεξανδρος ουδις παμφιλου'
Generation 49 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πεντε αλεξανδρος ουδις πεντε'
Generation 50 | Average Generation Fitness: 0.002554082124303844 | Best Fitness: 0.00800927507016805 | Population Length: 200| Best DNA: 'ετεος αλεξανδρος ουδις ετεος'
Generation 51 | Average Generation Fitness: 0.002577452412781436 | Best Fitness: 0.0075537827375026945 | Population Length: 200| Best DNA: 'ειπαν αλεξανδρος ουδις ειπαν'
------------------------------------------------
Total Generations: 51
Total Population: 200   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.1
Average Fitness: 0.002577452412781436  ---  Best Overall Fitness: 0.016298691438032083
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 2
Generation 1 | Average Generation Fitness: 0.0046676018410684375 | Best Fitness: 0.010208570505807424 | Population Length: 200| Best DNA: 'λευκωνος αλεξανδρος ουδις λευκωνος'
Generation 2 | Average Generation Fitness: 0.00396170997953612 | Best Fitness: 0.007585829328229604 | Population Length: 200| Best DNA: 'τοι αλεξανδρος ουδις τοι'
Generation 3 | Average Generation Fitness: 0.0036384295031490106 | Best Fitness: 0.0072302440110446195 | Population Length: 200| Best DNA: 'αρετης αλεξανδρος ουδις αρετης'
Generation 4 | Average Generation Fitness: 0.0033612255479314145 | Best Fitness: 0.008278609727626857 | Population Length: 200| Best DNA: 'θρασυβουλος αλεξανδρος ουδις θρασυβουλος'
Generation 5 | Average Generation Fitness: 0.0032561422389549848 | Best Fitness: 0.003510631004782436 | Population Length: 200| Best DNA: 'μαρκος αλεξανδρος ουδις μαρκος'
Generation 6 | Average Generation Fitness: 0.003258564799093697 | Best Fitness: 0.005727784844749751 | Population Length: 200| Best DNA: 'αρτεμησιω αλεξανδρος ουδις αρτεμησιω'
Generation 7 | Average Generation Fitness: 0.003253406203510697 | Best Fitness: 0.006706728299688866 | Population Length: 200| Best DNA: 'θεμεν αλεξανδρος ουδις θεμεν'
Generation 8 | Average Generation Fitness: 0.0032574955140670654 | Best Fitness: 0.006642909031363497 | Population Length: 200| Best DNA: 'ασπουργος αλεξανδρος ουδις ασπουργος'
Generation 9 | Average Generation Fitness: 0.003228829674083028 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'εγλειπειν αλεξανδρος ουδις εγλειπειν'
Generation 10 | Average Generation Fitness: 0.003227223114173079 | Best Fitness: 0.004411097153245506 | Population Length: 200| Best DNA: '0ιοσκουριδας αλεξανδρος ουδις 0ιοσκουριδας'
Generation 11 | Average Generation Fitness: 0.0032178009738789777 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'παρεισχηται αλεξανδρος ουδις παρεισχηται'
Generation 12 | Average Generation Fitness: 0.0032326401177968046 | Best Fitness: 0.007620648202715738 | Population Length: 200| Best DNA: 'αλωτον αλεξανδρος ουδις αλωτον'
Generation 13 | Average Generation Fitness: 0.0032398039011732865 | Best Fitness: 0.008397747913827186 | Population Length: 200| Best DNA: 'χρυσων αλεξανδρος ουδις χρυσων'
Generation 14 | Average Generation Fitness: 0.0032439924510009625 | Best Fitness: 0.0100541088160802 | Population Length: 200| Best DNA: 'ασπουργος αλεξανδρος ουδις ασπουργος'
Generation 15 | Average Generation Fitness: 0.003204837179790866 | Best Fitness: 0.006904561164418934 | Population Length: 200| Best DNA: 'εκλησιας αλεξανδρος ουδις εκλησιας'
Generation 16 | Average Generation Fitness: 0.003260660658662247 | Best Fitness: 0.012336470258379804 | Population Length: 200| Best DNA: 'οσον αλεξανδρος ουδις οσον'
Generation 17 | Average Generation Fitness: 0.00317759061113429 | Best Fitness: 0.007230760706851137 | Population Length: 200| Best DNA: 'μοκ αλεξανδρος ουδις μοκ'
Generation 18 | Average Generation Fitness: 0.003122218905443871 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'παρασχεσθαι αλεξανδρος ουδις παρασχεσθαι'
