----------------------------------------------------------------------------------------------------
Execution: 0
Generation 19 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 20 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 21 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 22 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 23 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 24 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'πατρος αλεξανδρος ουδις πατρος'
Generation 25 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 26 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 27 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 28 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 29 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 30 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 31 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 32 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 33 | Average Generation Fitness: 0.002703545375473088 | Best Fitness: 0.006064194715384044 | Population Length: 20| Best DNA: 'δια αλεξανδρος ουδις δια'
Generation 34 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 35 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 36 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 37 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 38 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 39 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 40 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 41 | Average Generation Fitness: 0.0026817691177100263 | Best Fitness: 0.005628669560122807 | Population Length: 20| Best DNA: 'ταυτ αλεξανδρος ουδις ταυτ'
Generation 42 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 43 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 44 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 45 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 46 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 47 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 48 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 49 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 50 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
------------------------------------------------
Total Generations: 50
Total Population: 20   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.1
Average Fitness: 0.0025266690944251427  ---  Best Overall Fitness: 0.011553953909546342
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 2
Generation 1 | Average Generation Fitness: 0.004211053867592233 | Best Fitness: 0.007003215593431306 | Population Length: 20| Best DNA: 'αυς αλεξανδρος ουδις αυς'
