----------------------------------------------------------------------------------------------------
Execution: 0
Generation 71 | Average Generation Fitness: 0.0025520485450858093 | Best Fitness: 0.006720877846962096 | Population Length: 200| Best DNA: 'ηδυν αλεξανδρος ουδις ηδυν'
Generation 72 | Average Generation Fitness: 0.0025347537347244747 | Best Fitness: 0.0034083504740241312 | Population Length: 200| Best DNA: 'αθυμως αλεξανδρος ουδις αθυμως'
Generation 73 | Average Generation Fitness: 0.0025540411239347487 | Best Fitness: 0.008001074996349028 | Population Length: 200| Best DNA: 'τιβεριος αλεξανδρος ουδις τιβεριος'
Generation 74 | Average Generation Fitness: 0.0025352420189537505 | Best Fitness: 0.0042412540001493595 | Population Length: 200| Best DNA: 'σκυθας αλεξανδρος ουδις σκυθας'
Generation 75 | Average Generation Fitness: 0.0026156954426020617 | Best Fitness: 0.010131673847757762 | Population Length: 200| Best DNA: 'κα αλεξανδρος ουδις κα'
Generation 76 | Average Generation Fitness: 0.0025971021174724107 | Best Fitness: 0.011219463710545009 | Population Length: 200| Best DNA: 'καλη αλεξανδρος ουδις καλη'
Generation 77 | Average Generation Fitness: 0.0025631668587141865 | Best Fitness: 0.007531373971625194 | Population Length: 200| Best DNA: 'προσοδοις αλεξανδρος ουδις προσοδοις'
Generation 78 | Average Generation Fitness: 0.002582273844663322 | Best Fitness: 0.008975737337513967 | Population Length: 200| Best DNA: 'τυχη αλεξανδρος ουδις τυχη'
Generation 79 | Average Generation Fitness: 0.0025440226697867135 | Best Fitness: 0.005042485437478454 | Population Length: 200| Best DNA: 'θεντων αλεξανδρος ουδις θεντων'
Generation 80 | Average Generation Fitness: 0.0025395032688986224 | Best Fitness: 0.005093503989123685 | Population Length: 200| Best DNA: 'μενου αλεξανδρος ουδις μενου'
Generation 81 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πυργον αλεξανδρος ουδις πυργον'
Generation 82 | Average Generation Fitness: 0.00254729943155806 | Best Fitness: 0.005135080152533419 | Population Length: 200| Best DNA: 'χαιρειν αλεξανδρος ουδις χαιρειν'
Generation 83 | Average Generation Fitness: 0.002545480304828231 | Best Fitness: 0.005553664494775429 | Population Length: 200| Best DNA: 'ουδεμ αλεξανδρος ουδις ουδεμ'
Generation 84 | Average Generation Fitness: 0.002578497785637564 | Best Fitness: 0.007230760706851137 | Population Length: 200| Best DNA: 'βουλομενος αλεξανδρος ουδις βουλομενος'
Generation 85 | Average Generation Fitness: 0.002552294287353417 | Best Fitness: 0.006770026300483679 | Population Length: 200| Best DNA: 'τχω αλεξανδρος ουδις τχω'
Generation 86 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πυργον αλεξανδρος ουδις πυργον'
Generation 87 | Average Generation Fitness: 0.002546652187910596 | Best Fitness: 0.004387688699478308 | Population Length: 200| Best DNA: 'ειρηνηι αλεξανδρος ουδις ειρηνηι'
Generation 88 | Average Generation Fitness: 0.0025416448458455993 | Best Fitness: 0.004713355348584506 | Population Length: 200| Best DNA: 'εχοντας αλεξανδρος ουδις εχοντας'
Generation 89 | Average Generation Fitness: 0.0025336708564839792 | Best Fitness: 0.003927021506195175 | Population Length: 200| Best DNA: 'ταυρεου αλεξανδρος ουδις ταυρεου'
Generation 90 | Average Generation Fitness: 0.002585665840926522 | Best Fitness: 0.008006585079004036 | Population Length: 200| Best DNA: 'σικλεια αλεξανδρος ουδις σικλεια'
Generation 91 | Average Generation Fitness: 0.002549952895853137 | Best Fitness: 0.007183429380026664 | Population Length: 200| Best DNA: 'σαυνασον αλεξανδρος ουδις σαυνασον'
------------------------------------------------
Total Generations: 91
Total Population: 200   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.9
Average Fitness: 0.002549952895853137  ---  Best Overall Fitness: 0.02121320077109222
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 1
Generation 1 | Average Generation Fitness: 0.004454303141207668 | Best Fitness: 0.008766164518477303 | Population Length: 200| Best DNA: 'ιπποστρατου αλεξανδρος ουδις ιπποστρατου'
Generation 2 | Average Generation Fitness: 0.003911102690910385 | Best Fitness: 0.007479475936938388 | Population Length: 200| Best DNA: 'ζητος αλεξανδρος ουδις ζητος'
Generation 3 | Average Generation Fitness: 0.003500426309356289 | Best Fitness: 0.0052820928042828464 | Population Length: 200| Best DNA: 'σαυροματης αλεξανδρος ουδις σαυροματης'
Generation 4 | Average Generation Fitness: 0.0033670784221842987 | Best Fitness: 0.009477739596918718 | Population Length: 200| Best DNA: 'ωτον αλεξανδρος ουδις ωτον'
Generation 5 | Average Generation Fitness: 0.0032618406428256957 | Best Fitness: 0.0042412540001493595 | Population Length: 200| Best DNA: 'εδωκαν αλεξανδρος ουδις εδωκαν'
Generation 6 | Average Generation Fitness: 0.003257989636759529 | Best Fitness: 0.004606134477816314 | Population Length: 200| Best DNA: 'ωκος αλεξανδρος ουδις ωκος'
Generation 7 | Average Generation Fitness: 0.003261305184757886 | Best Fitness: 0.00828652454912674 | Population Length: 200| Best DNA: 'αρδ αλεξανδρος ουδις αρδ'
Generation 8 | Average Generation Fitness: 0.003277034021545897 | Best Fitness: 0.007396715193455675 | Population Length: 200| Best DNA: 'φλαουιος αλεξανδρος ουδις φλαουιος'
Generation 9 | Average Generation Fitness: 0.003298314604455948 | Best Fitness: 0.011020452712887086 | Population Length: 200| Best DNA: 'αρδ αλεξανδρος ουδις αρδ'
Generation 10 | Average Generation Fitness: 0.0032429649705538466 | Best Fitness: 0.003883235028048705 | Population Length: 200| Best DNA: 'ζηθος αλεξανδρος ουδις ζηθος'
Generation 11 | Average Generation Fitness: 0.0032497614072078806 | Best Fitness: 0.007374333141753064 | Population Length: 200| Best DNA: 'ποντικος αλεξανδρος ουδις ποντικος'
Generation 12 | Average Generation Fitness: 0.003237280401130695 | Best Fitness: 0.003481567823688605 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 13 | Average Generation Fitness: 0.0032251534406816775 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'μελλοντα αλεξανδρος ουδις μελλοντα'
Generation 14 | Average Generation Fitness: 0.003247210841089779 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'ενακοσιους αλεξανδρος ουδις ενακοσιους'
Generation 15 | Average Generation Fitness: 0.003239389603416838 | Best Fitness: 0.0039034082809170623 | Population Length: 200| Best DNA: 'ξενου αλεξανδρος ουδις ξενου'
Generation 16 | Average Generation Fitness: 0.003227911574431333 | Best Fitness: 0.006681311896042087 | Population Length: 200| Best DNA: 'αντισθενου αλεξανδρος ουδις αντισθενου'
Generation 17 | Average Generation Fitness: 0.0032325059074843777 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'αμφοτερους αλεξανδρος ουδις αμφοτερους'
Generation 18 | Average Generation Fitness: 0.003259551328723546 | Best Fitness: 0.008671000022528793 | Population Length: 200| Best DNA: 'δωρον αλεξανδρος ουδις δωρον'
Generation 19 | Average Generation Fitness: 0.0032479146043628685 | Best Fitness: 0.005950206454370133 | Population Length: 200| Best DNA: 'φιλαγαθον αλεξανδρος ουδις φιλαγαθον'
Generation 20 | Average Generation Fitness: 0.0032549530714505183 | Best Fitness: 0.00922184192846335 | Population Length: 200| Best DNA: 'δακ αλεξανδρος ουδις δακ'
Generation 21 | Average Generation Fitness: 0.0032376679808988514 | Best Fitness: 0.006353635799070941 | Population Length: 200| Best DNA: 'γαιος αλεξανδρος ουδις γαιος'
Generation 22 | Average Generation Fitness: 0.0032540037279741936 | Best Fitness: 0.011972959954278736 | Population Length: 200| Best DNA: 'χαιρετε αλεξανδρος ουδις χαιρετε'
Generation 23 | Average Generation Fitness: 0.003255905488628703 | Best Fitness: 0.00686677344292614 | Population Length: 200| Best DNA: 'διστεγα αλεξανδρος ουδις διστεγα'
Generation 24 | Average Generation Fitness: 0.003225745141688694 | Best Fitness: 0.006104920568983688 | Population Length: 200| Best DNA: 'ουλιος αλεξανδρος ουδις ουλιος'
Generation 25 | Average Generation Fitness: 0.0031822744795958684 | Best Fitness: 0.0043144713498138336 | Population Length: 200| Best DNA: 'εισαγωγην αλεξανδρος ουδις εισαγωγην'
Generation 26 | Average Generation Fitness: 0.0032275730481926878 | Best Fitness: 0.007389360382061615 | Population Length: 200| Best DNA: 'ον αλεξανδρος ουδις ον'
Generation 27 | Average Generation Fitness: 0.0031922991388203537 | Best Fitness: 0.008015956056616596 | Population Length: 200| Best DNA: 'διονυσω αλεξανδρος ουδις διονυσω'
Generation 28 | Average Generation Fitness: 0.0031759772186932544 | Best Fitness: 0.007573592073166323 | Population Length: 200| Best DNA: 'νιβλοβωρω αλεξανδρος ουδις νιβλοβωρω'
Generation 29 | Average Generation Fitness: 0.00313758969748531 | Best Fitness: 0.005626881844439903 | Population Length: 200| Best DNA: 'ους αλεξανδρος ουδις ους'
Generation 30 | Average Generation Fitness: 0.003112953967386459 | Best Fitness: 0.006489028458034011 | Population Length: 200| Best DNA: 'πολεμωι αλεξανδρος ουδις πολεμωι'
Generation 31 | Average Generation Fitness: 0.003056249592678981 | Best Fitness: 0.004037740146848083 | Population Length: 200| Best DNA: 'υπεμεινε αλεξανδρος ουδις υπεμεινε'
Generation 32 | Average Generation Fitness: 0.002969105855158069 | Best Fitness: 0.006784603970827811 | Population Length: 200| Best DNA: 'μευακου αλεξανδρος ουδις μευακου'
Generation 33 | Average Generation Fitness: 0.0028612503787308835 | Best Fitness: 0.009000495211467391 | Population Length: 200| Best DNA: 'διονυσω αλεξανδρος ουδις διονυσω'
Generation 34 | Average Generation Fitness: 0.002676790454123079 | Best Fitness: 0.005346813864022849 | Population Length: 200| Best DNA: 'συν αλεξανδρος ουδις συν'
Generation 35 | Average Generation Fitness: 0.0025571772218809 | Best Fitness: 0.0034083504740241312 | Population Length: 200| Best DNA: 'χαλκον αλεξανδρος ουδις χαλκον'
Generation 36 | Average Generation Fitness: 0.002578345891111776 | Best Fitness: 0.007912540198076723 | Population Length: 200| Best DNA: 'σιτοδειας αλεξανδρος ουδις σιτοδειας'
Generation 37 | Average Generation Fitness: 0.0025339188771059114 | Best Fitness: 0.003976625630581536 | Population Length: 200| Best DNA: 'πολλα αλεξανδρος ουδις πολλα'
Generation 38 | Average Generation Fitness: 0.0025815669255760208 | Best Fitness: 0.006635463157362959 | Population Length: 200| Best DNA: 'χερσονησιτης αλεξανδρος ουδις χερσονησιτης'
Generation 39 | Average Generation Fitness: 0.0025931661651381953 | Best Fitness: 0.007449139272104818 | Population Length: 200| Best DNA: 'ωκος αλεξανδρος ουδις ωκος'
Generation 40 | Average Generation Fitness: 0.002543959323909705 | Best Fitness: 0.005984714991340312 | Population Length: 200| Best DNA: 'τιμοκλης αλεξανδρος ουδις τιμοκλης'
Generation 41 | Average Generation Fitness: 0.002561751813892786 | Best Fitness: 0.00580340005133389 | Population Length: 200| Best DNA: 'εαυτου αλεξανδρος ουδις εαυτου'
Generation 42 | Average Generation Fitness: 0.002567761602900707 | Best Fitness: 0.008498853056847671 | Population Length: 200| Best DNA: 'ιου αλεξανδρος ουδις ιου'
Generation 43 | Average Generation Fitness: 0.002612854742222706 | Best Fitness: 0.00930507578502885 | Population Length: 200| Best DNA: 'εξ αλεξανδρος ουδις εξ'
Generation 44 | Average Generation Fitness: 0.002553877392327341 | Best Fitness: 0.007968328674867436 | Population Length: 200| Best DNA: 'λε αλεξανδρος ουδις λε'
Generation 45 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'μερη αλεξανδρος ουδις μερη'
Generation 46 | Average Generation Fitness: 0.0025637773382746597 | Best Fitness: 0.006370066389772612 | Population Length: 200| Best DNA: 'σαυροματης αλεξανδρος ουδις σαυροματης'
Generation 47 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'μερη αλεξανδρος ουδις μερη'
Generation 48 | Average Generation Fitness: 0.002674192914479407 | Best Fitness: 0.009422335262690599 | Population Length: 200| Best DNA: 'λε αλεξανδρος ουδις λε'
Generation 49 | Average Generation Fitness: 0.002592946670218006 | Best Fitness: 0.007680385536571833 | Population Length: 200| Best DNA: 'επαινεσαι αλεξανδρος ουδις επαινεσαι'
