----------------------------------------------------------------------------------------------------
Execution: 0
Generation 009 | Average Generation Fitness: 0.0032537729529757285, | Best Fitness: 0.008250571553235315 | Population Length: 200| Best DNA: 'τους αλεξανδρος ουδις τους'
Generation 010 | Average Generation Fitness: 0.003251829904851065, | Best Fitness: 0.007152769589759408 | Population Length: 200| Best DNA: 'βατ αλεξανδρος ουδις βατ'
Generation 011 | Average Generation Fitness: 0.003203096040273576, | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'τριτον αλεξανδρος ουδις τριτον'
Generation 012 | Average Generation Fitness: 0.00323208888620214, | Best Fitness: 0.006119498239327819 | Population Length: 200| Best DNA: 'εργωνων αλεξανδρος ουδις εργωνων'
Generation 013 | Average Generation Fitness: 0.0032559826509414563, | Best Fitness: 0.009427757826651154 | Population Length: 200| Best DNA: 'δουναι αλεξανδρος ουδις δουναι'
Generation 014 | Average Generation Fitness: 0.0032189104254227567, | Best Fitness: 0.009739759054221513 | Population Length: 200| Best DNA: 'δημητρι αλεξανδρος ουδις δημητρι'
Generation 015 | Average Generation Fitness: 0.0032617759195986986, | Best Fitness: 0.008905037723937897 | Population Length: 200| Best DNA: 'επανω αλεξανδρος ουδις επανω'
Generation 016 | Average Generation Fitness: 0.003231956349781371, | Best Fitness: 0.007974793103002241 | Population Length: 200| Best DNA: 'σινωπιων αλεξανδρος ουδις σινωπιων'
Generation 017 | Average Generation Fitness: 0.003241271425437983, | Best Fitness: 0.008442537536679116 | Population Length: 200| Best DNA: 'ανεθηκε αλεξανδρος ουδις ανεθηκε'
Generation 018 | Average Generation Fitness: 0.0032078733719833525, | Best Fitness: 0.004952628796920365 | Population Length: 200| Best DNA: 'οτι αλεξανδρος ουδις οτι'
Generation 019 | Average Generation Fitness: 0.0032260301766059572, | Best Fitness: 0.007848743041171469 | Population Length: 200| Best DNA: 'συριηι αλεξανδρος ουδις συριηι'
Generation 020 | Average Generation Fitness: 0.003173686173062774, | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'διακεισθαι αλεξανδρος ουδις διακεισθαι'
Generation 021 | Average Generation Fitness: 0.0031748156602574894, | Best Fitness: 0.004958306574178543 | Population Length: 200| Best DNA: 'αξιωσαντος αλεξανδρος ουδις αξιωσαντος'
Generation 022 | Average Generation Fitness: 0.003227055588858357, | Best Fitness: 0.013118339980365165 | Population Length: 200| Best DNA: 'λυνγιον αλεξανδρος ουδις λυνγιον'
Generation 023 | Average Generation Fitness: 0.0031674470107018776, | Best Fitness: 0.004219823343325721 | Population Length: 200| Best DNA: 'χρηστιωνος αλεξανδρος ουδις χρηστιωνος'
Generation 024 | Average Generation Fitness: 0.0031333936712221984, | Best Fitness: 0.008855133549419657 | Population Length: 200| Best DNA: 'αρραβωνας αλεξανδρος ουδις αρραβωνας'
Generation 025 | Average Generation Fitness: 0.0031095061570937024, | Best Fitness: 0.005130846186281672 | Population Length: 200| Best DNA: 'περαν αλεξανδρος ουδις περαν'
Generation 026 | Average Generation Fitness: 0.003146731233852862, | Best Fitness: 0.011851201562816039 | Population Length: 200| Best DNA: 'τον αλεξανδρος ουδις τον'
Generation 027 | Average Generation Fitness: 0.0030054127512628205, | Best Fitness: 0.005803444261939016 | Population Length: 200| Best DNA: 'φιλαγαθου αλεξανδρος ουδις φιλαγαθου'
Generation 028 | Average Generation Fitness: 0.0028907179398470033, | Best Fitness: 0.005239288323057458 | Population Length: 200| Best DNA: 'ευεργετειν αλεξανδρος ουδις ευεργετειν'
Generation 029 | Average Generation Fitness: 0.0028364792213741107, | Best Fitness: 0.00730397805651561 | Population Length: 200| Best DNA: 'αυτοις αλεξανδρος ουδις αυτοις'
Generation 030 | Average Generation Fitness: 0.0026837752755639434, | Best Fitness: 0.006746851335821231 | Population Length: 200| Best DNA: 'μερη αλεξανδρος ουδις μερη'
Generation 031 | Average Generation Fitness: 0.00261716163055458, | Best Fitness: 0.008576560198927396 | Population Length: 200| Best DNA: 'πυργγον αλεξανδρος ουδις πυργγον'
Generation 032 | Average Generation Fitness: 0.0025616907864245814, | Best Fitness: 0.0053219357069730164 | Population Length: 200| Best DNA: 'απεδοτο αλεξανδρος ουδις απεδοτο'
Generation 033 | Average Generation Fitness: 0.0025368521670591686, | Best Fitness: 0.004563283621233009 | Population Length: 200| Best DNA: 'τυχαι αλεξανδρος ουδις τυχαι'
Generation 034 | Average Generation Fitness: 0.0025609687596499404, | Best Fitness: 0.006860344936571467 | Population Length: 200| Best DNA: 'ον αλεξανδρος ουδις ον'
Generation 035 | Average Generation Fitness: 0.002592249793713018, | Best Fitness: 0.007704608378307709 | Population Length: 200| Best DNA: 'ωνας αλεξανδρος ουδις ωνας'
Generation 036 | Average Generation Fitness: 0.0026328691371780223, | Best Fitness: 0.01364241708715481 | Population Length: 200| Best DNA: 'ακρατου αλεξανδρος ουδις ακρατου'
Generation 037 | Average Generation Fitness: 0.002536316746427003, | Best Fitness: 0.004456199494799851 | Population Length: 200| Best DNA: 'δημοπολις αλεξανδρος ουδις δημοπολις'
Generation 038 | Average Generation Fitness: 0.0025658497488198545, | Best Fitness: 0.0074709880556413305 | Population Length: 200| Best DNA: 'χερσονησιτης αλεξανδρος ουδις χερσονησιτης'
Generation 039 | Average Generation Fitness: 0.0025675792100078977, | Best Fitness: 0.007790396304571835 | Population Length: 200| Best DNA: 'δαματριου αλεξανδρος ουδις δαματριου'
Generation 040 | Average Generation Fitness: 0.0026310322351418215, | Best Fitness: 0.020431684333129453 | Population Length: 200| Best DNA: 'αντιλοχος αλεξανδρος ουδις αντιλοχος'
Generation 041 | Average Generation Fitness: 0.002544560351797923, | Best Fitness: 0.006104920568983688 | Population Length: 200| Best DNA: 'ηρακλεωτης αλεξανδρος ουδις ηρακλεωτης'
Generation 042 | Average Generation Fitness: 0.0026085058406130034, | Best Fitness: 0.011446363534728238 | Population Length: 200| Best DNA: 'προνοια αλεξανδρος ουδις προνοια'
Generation 043 | Average Generation Fitness: 0.0025746681751105355, | Best Fitness: 0.00847294264482941 | Population Length: 200| Best DNA: 'αγαθανγελου αλεξανδρος ουδις αγαθανγελου'
Generation 044 | Average Generation Fitness: 0.002577850662743127, | Best Fitness: 0.007230760706851137 | Population Length: 200| Best DNA: 'αγουσι αλεξανδρος ουδις αγουσι'
Generation 045 | Average Generation Fitness: 0.002531588903976916, | Best Fitness: 0.003510631004782436 | Population Length: 200| Best DNA: 'δημοκρατης αλεξανδρος ουδις δημοκρατης'
Generation 046 | Average Generation Fitness: 0.0025663535277890104, | Best Fitness: 0.006871348397702076 | Population Length: 200| Best DNA: 'τουτοις αλεξανδρος ουδις τουτοις'
Generation 047 | Average Generation Fitness: 0.002573839657545421, | Best Fitness: 0.007536877478809732 | Population Length: 200| Best DNA: 'αστυνομου αλεξανδρος ουδις αστυνομου'
Generation 048 | Average Generation Fitness: 0.0025411686597866935, | Best Fitness: 0.00404984298024601 | Population Length: 200| Best DNA: 'τογ αλεξανδρος ουδις τογ'
Generation 049 | Average Generation Fitness: 0.0025266690944251297, | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'γενομενος αλεξανδρος ουδις γενομενος'
Generation 050 | Average Generation Fitness: 0.002536878319015089, | Best Fitness: 0.004568514012417054 | Population Length: 200| Best DNA: 'αυρηλιου αλεξανδρος ουδις αυρηλιου'
Generation 051 | Average Generation Fitness: 0.0025336401085613806, | Best Fitness: 0.003920871921675447 | Population Length: 200| Best DNA: 'προς αλεξανδρος ουδις προς'
Generation 052 | Average Generation Fitness: 0.002570805660615782, | Best Fitness: 0.006706728299688866 | Population Length: 200| Best DNA: 'ποθος αλεξανδρος ουδις ποθος'
Generation 053 | Average Generation Fitness: 0.0025632592622441843, | Best Fitness: 0.008467963471744173 | Population Length: 200| Best DNA: 'χηδοσβιου αλεξανδρος ουδις χηδοσβιου'
Generation 054 | Average Generation Fitness: 0.002530711414574802, | Best Fitness: 0.0033351331243596572 | Population Length: 200| Best DNA: 'αγορασαντος αλεξανδρος ουδις αγορασαντος'
